iter	Passed	Remaining
0	146	146670
1	149	74382
2	154	51209
3	155	38829
4	157	31407
5	159	26461
6	161	22964
7	163	20320
8	168	18526
9	170	16862
10	172	15522
11	174	14381
12	177	13504
13	182	12819
14	184	12106
15	186	11451
16	188	10888
17	191	10422
18	201	10410
19	204	10008
20	207	9656
21	209	9328
22	213	9086
23	217	8830
24	219	8556
25	222	8339
26	226	8146
27	229	7978
28	234	7837
29	239	7730
30	241	7536
31	248	7507
32	251	7379
33	254	7238
34	256	7076
35	261	7006
36	265	6902
37	267	6769
38	269	6632
39	270	6503
40	276	6468
41	280	6387
42	283	6299
43	284	6188
44	290	6172
45	296	6147
46	298	6058
47	300	5965
48	306	5944
49	311	5917
50	313	5840
51	315	5753
52	330	5899
53	332	5822
54	339	5829
55	341	5757
56	343	5684
57	345	5609
58	347	5543
59	351	5500
60	355	5465
61	357	5409
62	359	5344
63	361	5284
64	363	5226
65	368	5215
66	370	5160
67	371	5097
68	373	5046
69	376	4996
70	377	4944
71	382	4925
72	384	4884
73	386	4839
74	388	4794
75	390	4750
76	392	4705
77	397	4694
78	399	4659
79	401	4619
80	404	4584
81	406	4551
82	411	4547
83	414	4523
84	416	4481
85	418	4447
86	419	4403
87	421	4368
88	427	4372
89	429	4346
90	431	4311
91	433	4277
92	435	4243
93	437	4217
94	442	4218
95	445	4193
96	447	4162
97	449	4133
98	457	4161
99	459	4137
100	461	4110
101	463	4077
102	465	4055
103	470	4054
104	474	4043
105	476	4016
106	478	3992
107	480	3970
108	487	3984
109	489	3958
110	491	3935
111	493	3913
112	502	3940
113	504	3920
114	506	3896
115	507	3869
116	509	3846
117	512	3829
118	519	3845
119	521	3825
120	523	3804
121	527	3798
122	532	3794
123	534	3774
124	536	3754
125	538	3733
126	540	3718
127	543	3699
128	547	3697
129	549	3680
130	552	3663
131	555	3651
132	558	3639
133	563	3644
134	565	3625
135	567	3606
136	570	3596
137	577	3607
138	579	3591
139	581	3574
140	584	3561
141	588	3553
142	592	3549
143	594	3532
144	596	3517
145	599	3506
146	606	3516
147	609	3511
148	611	3494
149	614	3483
150	617	3472
151	622	3475
152	625	3460
153	627	3445
154	630	3436
155	633	3426
156	637	3420
157	639	3410
158	641	3394
159	644	3383
160	647	3371
161	649	3357
162	652	3351
163	655	3339
164	657	3325
165	659	3315
166	664	3314
167	668	3308
168	670	3295
169	673	3286
170	675	3273
171	677	3259
172	680	3253
173	683	3242
174	685	3229
175	688	3224
176	692	3218
177	695	3213
178	698	3202
179	701	3194
180	702	3176
181	703	3163
182	705	3150
183	707	3138
184	710	3131
185	712	3119
186	716	3113
187	718	3101
188	720	3090
189	722	3078
190	726	3075
191	728	3063
192	729	3051
193	731	3039
194	733	3027
195	735	3015
196	737	3005
197	740	2999
198	743	2991
199	744	2979
200	746	2967
201	748	2955
202	749	2943
203	751	2933
204	753	2922
205	756	2915
206	758	2904
207	759	2893
208	761	2882
209	763	2871
210	764	2860
211	766	2850
212	770	2847
213	772	2837
214	774	2826
215	775	2815
216	777	2805
217	779	2795
218	781	2785
219	786	2786
220	788	2778
221	789	2767
222	791	2757
223	792	2746
224	794	2737
225	796	2729
226	800	2725
227	802	2716
228	803	2706
229	805	2697
230	807	2687
231	809	2678
232	811	2672
233	816	2672
234	818	2663
235	819	2654
236	821	2644
237	823	2636
238	825	2627
239	826	2618
240	830	2615
241	832	2606
242	833	2597
243	835	2588
244	837	2579
245	838	2570
246	840	2563
247	844	2559
248	845	2550
249	847	2542
250	849	2533
251	850	2525
252	852	2518
253	854	2511
254	858	2507
255	860	2500
256	862	2493
257	864	2486
258	866	2479
259	868	2471
260	870	2464
261	874	2463
262	877	2458
263	878	2450
264	880	2443
265	883	2437
266	885	2431
267	888	2427
268	891	2421
269	892	2414
270	894	2407
271	896	2400
272	898	2393
273	900	2387
274	904	2383
275	906	2377
276	907	2369
277	910	2363
278	912	2358
279	914	2351
280	916	2344
281	919	2341
282	921	2334
283	923	2327
284	925	2320
285	926	2313
286	928	2306
287	930	2299
288	933	2295
289	935	2289
290	936	2282
291	939	2277
292	941	2271
293	943	2265
294	945	2259
295	948	2255
296	950	2249
297	952	2243
298	953	2236
299	955	2229
300	957	2223
301	959	2218
302	963	2215
303	966	2211
304	968	2205
305	969	2199
306	971	2192
307	973	2186
308	974	2180
309	977	2176
310	979	2170
311	981	2164
312	983	2158
313	984	2151
314	986	2145
315	988	2138
316	989	2132
317	992	2128
318	994	2123
319	996	2117
320	998	2111
321	999	2105
322	1001	2099
323	1003	2093
324	1005	2087
325	1008	2084
326	1010	2079
327	1012	2073
328	1013	2067
329	1015	2061
330	1017	2055
331	1018	2049
332	1020	2043
333	1023	2040
334	1025	2035
335	1027	2029
336	1028	2024
337	1030	2018
338	1032	2012
339	1034	2007
340	1037	2004
341	1039	1999
342	1040	1993
343	1042	1987
344	1044	1982
345	1045	1976
346	1047	1971
347	1049	1965
348	1053	1965
349	1056	1962
350	1058	1957
351	1060	1952
352	1062	1947
353	1064	1942
354	1067	1939
355	1069	1934
356	1071	1929
357	1073	1924
358	1074	1919
359	1076	1914
360	1079	1910
361	1083	1908
362	1085	1904
363	1086	1899
364	1088	1893
365	1090	1889
366	1092	1884
367	1094	1880
368	1097	1876
369	1099	1872
370	1101	1866
371	1102	1861
372	1104	1856
373	1107	1853
374	1109	1848
375	1112	1846
376	1115	1843
377	1117	1838
378	1119	1833
379	1121	1829
380	1125	1827
381	1127	1823
382	1128	1818
383	1131	1814
384	1133	1809
385	1134	1805
386	1136	1800
387	1139	1796
388	1140	1792
389	1142	1787
390	1144	1782
391	1146	1777
392	1148	1773
393	1149	1768
394	1152	1765
395	1154	1760
396	1156	1756
397	1158	1751
398	1159	1747
399	1161	1742
400	1163	1738
401	1167	1737
402	1169	1732
403	1172	1729
404	1173	1724
405	1175	1720
406	1177	1715
407	1181	1714
408	1183	1710
409	1185	1706
410	1187	1701
411	1189	1696
412	1190	1692
413	1192	1688
414	1196	1686
415	1199	1683
416	1201	1680
417	1203	1676
418	1205	1671
419	1207	1667
420	1211	1665
421	1213	1661
422	1215	1657
423	1216	1652
424	1218	1648
425	1220	1644
426	1222	1640
427	1225	1637
428	1227	1634
429	1229	1630
430	1231	1625
431	1232	1621
432	1234	1617
433	1236	1612
434	1238	1608
435	1241	1606
436	1243	1601
437	1245	1597
438	1246	1593
439	1248	1588
440	1250	1584
441	1252	1580
442	1255	1578
443	1257	1575
444	1259	1570
445	1261	1566
446	1262	1562
447	1264	1558
448	1266	1554
449	1269	1551
450	1271	1547
451	1273	1543
452	1275	1540
453	1277	1536
454	1279	1532
455	1281	1528
456	1284	1525
457	1286	1522
458	1287	1518
459	1289	1514
460	1291	1510
461	1293	1506
462	1295	1502
463	1298	1500
464	1300	1496
465	1302	1492
466	1304	1488
467	1306	1485
468	1308	1481
469	1310	1477
470	1312	1474
471	1314	1470
472	1316	1466
473	1318	1462
474	1319	1458
475	1321	1454
476	1323	1451
477	1325	1447
478	1328	1444
479	1330	1441
480	1331	1437
481	1333	1433
482	1335	1429
483	1337	1426
484	1340	1423
485	1345	1422
486	1348	1420
487	1351	1417
488	1353	1414
489	1355	1411
490	1360	1410
491	1363	1407
492	1366	1404
493	1368	1401
494	1371	1399
495	1374	1396
496	1377	1394
497	1380	1391
498	1382	1388
499	1384	1384
500	1389	1383
501	1391	1380
502	1394	1377
503	1397	1374
504	1399	1371
505	1401	1368
506	1405	1366
507	1409	1365
508	1412	1362
509	1416	1360
510	1424	1362
511	1428	1361
512	1430	1358
513	1435	1357
514	1438	1354
515	1441	1352
516	1444	1349
517	1447	1346
518	1450	1344
519	1453	1341
520	1456	1338
521	1458	1335
522	1461	1332
523	1464	1330
524	1467	1327
525	1469	1324
526	1472	1321
527	1474	1317
528	1476	1314
529	1479	1312
530	1482	1309
531	1484	1305
532	1487	1302
533	1489	1299
534	1491	1296
535	1494	1294
536	1497	1291
537	1499	1287
538	1501	1284
539	1503	1280
540	1505	1277
541	1507	1273
542	1510	1271
543	1512	1267
544	1514	1264
545	1516	1260
546	1518	1257
547	1520	1254
548	1523	1251
549	1526	1248
550	1528	1245
551	1530	1242
552	1532	1238
553	1534	1235
554	1537	1232
555	1540	1230
556	1542	1226
557	1544	1223
558	1545	1219
559	1547	1215
560	1549	1212
561	1552	1209
562	1555	1207
563	1557	1203
564	1559	1200
565	1561	1197
566	1564	1194
567	1566	1191
568	1568	1188
569	1570	1185
570	1572	1181
571	1574	1178
572	1576	1174
573	1578	1171
574	1580	1168
575	1582	1164
576	1585	1162
577	1587	1159
578	1589	1155
579	1591	1152
580	1593	1149
581	1595	1146
582	1598	1143
583	1601	1140
584	1603	1137
585	1605	1134
586	1608	1131
587	1610	1128
588	1612	1125
589	1615	1122
590	1617	1119
591	1619	1116
592	1622	1113
593	1624	1110
594	1626	1107
595	1629	1104
596	1631	1101
597	1633	1098
598	1636	1095
599	1638	1092
600	1640	1088
601	1642	1085
602	1645	1083
603	1648	1080
604	1651	1078
605	1654	1075
606	1657	1073
607	1660	1070
608	1662	1067
609	1665	1064
610	1667	1061
611	1669	1058
612	1671	1055
613	1674	1052
614	1676	1049
615	1678	1046
616	1680	1043
617	1682	1040
618	1684	1036
619	1688	1034
620	1690	1031
621	1692	1028
622	1694	1025
623	1696	1022
624	1698	1019
625	1700	1016
626	1703	1013
627	1705	1010
628	1707	1007
629	1709	1003
630	1711	1000
631	1713	997
632	1716	994
633	1719	992
634	1721	989
635	1723	986
636	1725	983
637	1727	980
638	1729	977
639	1731	974
640	1734	971
641	1736	968
642	1738	965
643	1739	961
644	1741	958
645	1745	956
646	1749	954
647	1751	951
648	1754	948
649	1756	945
650	1758	942
651	1760	939
652	1762	936
653	1764	933
654	1766	930
655	1768	927
656	1770	924
657	1771	921
658	1773	917
659	1775	914
660	1778	912
661	1779	908
662	1781	905
663	1783	902
664	1786	900
665	1790	897
666	1793	895
667	1795	892
668	1797	889
669	1799	886
670	1801	883
671	1802	879
672	1804	876
673	1807	874
674	1809	871
675	1811	868
676	1813	865
677	1815	861
678	1816	858
679	1818	855
680	1820	852
681	1823	850
682	1824	847
683	1826	844
